,key stats,mar21,mar20,mar19,mar18,mar17,company,mar16,mar15,mar14,mar13,mar12
210,PBT/Share (Rs.),15.40,42.85,20.48,10.51,6.54,BAJAJFINSV.NS,12.24,9.94,6.63,4.97,7.44
211,Net Profit/Share (Rs.),11.23,41.90,19.30,8.90,4.40,BAJAJFINSV.NS,10.25,7.91,5.24,3.20,5.29
212,Profitability Ratios,,,,,,BAJAJFINSV.NS,,,,,
213,PBDIT Margin (%),77.15,87.80,77.42,69.68,68.52,BAJAJFINSV.NS,80.96,80.22,73.92,75.94,80.47
214,PBIT Margin (%),75.71,87.43,77.05,69.12,67.57,BAJAJFINSV.NS,80.39,78.95,73.02,75.04,79.32
215,PBT Margin (%),75.71,87.43,77.05,69.12,67.57,BAJAJFINSV.NS,80.39,78.95,73.02,55.95,79.32
216,Net Profit Margin (%),55.22,85.51,72.60,58.54,45.49,BAJAJFINSV.NS,67.32,62.88,57.71,35.93,56.39
217,Return on Networth / Equity (%),4.70,18.86,9.71,4.91,2.53,BAJAJFINSV.NS,6.05,4.91,3.38,2.11,5.29
218,Return on Capital Employed (%),6.39,19.12,10.21,5.74,3.73,BAJAJFINSV.NS,6.00,4.88,3.36,2.10,5.26
219,Return on Assets (%),4.62,18.52,9.54,4.83,2.48,BAJAJFINSV.NS,5.93,4.77,3.28,2.04,5.13
220,Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,BAJAJFINSV.NS,0.00,0.00,0.00,0.00,0.00
221,Asset Turnover Ratio (%),8.36,21.66,13.14,8.26,5.46,BAJAJFINSV.NS,8.82,7.58,5.69,5.70,9.10
222,Liquidity Ratios,,,,,,BAJAJFINSV.NS,,,,,
223,Current Ratio (X),107.24,98.41,30.82,46.20,7.57,BAJAJFINSV.NS,16.73,11.74,4.10,3.04,1.85
224,Quick Ratio (X),107.24,98.41,30.82,46.20,7.57,BAJAJFINSV.NS,16.73,11.74,4.10,3.04,1.85
225,Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,BAJAJFINSV.NS,0.00,0.00,0.00,0.00,0.00
226,Dividend Payout Ratio (NP) (%),0.00,17.89,9.06,19.66,0.00,BAJAJFINSV.NS,17.07,22.11,33.39,46.95,28.34
227,Dividend Payout Ratio (CP) (%),0.00,17.82,9.02,19.47,0.00,BAJAJFINSV.NS,16.92,21.67,32.88,45.79,27.77
228,Earnings Retention Ratio (%),0.00,82.11,90.94,80.34,0.00,BAJAJFINSV.NS,82.93,77.89,66.61,53.05,71.66
229,Cash Earnings Retention Ratio (%),0.00,82.18,90.98,80.53,0.00,BAJAJFINSV.NS,83.08,78.33,67.12,54.21,72.23
230,Valuation Ratios,,,,,,BAJAJFINSV.NS,,,,,
231,Enterprise Value (Cr.),153728.70,73036.32,111901.88,82399.04,65051.70,BAJAJFINSV.NS,26888.23,22105.56,12566.07,12237.40,8842.47
232,EV/Net Operating Revenue (X),474.87,93.65,264.51,340.63,422.69,BAJAJFINSV.NS,110.96,110.40,86.97,86.50,65.13
233,EV/EBITDA (X),615.46,106.66,341.64,488.81,616.84,BAJAJFINSV.NS,137.05,137.61,117.65,113.90,80.93
234,MarketCap/Net Operating Revenue (X),475.25,93.66,264.65,340.68,422.70,BAJAJFINSV.NS,111.89,110.41,87.02,86.52,65.15
235,Retention Ratios (%),0.00,82.10,90.93,80.33,0.00,BAJAJFINSV.NS,82.92,77.88,66.60,53.04,71.65
236,Price/BV (X),40.48,20.66,35.42,28.62,23.52,BAJAJFINSV.NS,10.06,8.64,5.10,5.08,6.12
237,Price/Net Operating Revenue,475.26,93.66,264.65,340.69,422.71,BAJAJFINSV.NS,111.89,110.41,87.02,86.52,65.15
238,Earnings Yield,0.00,0.01,0.00,0.00,0.00,BAJAJFINSV.NS,0.01,0.01,0.01,0.00,0.01
239,Key Financial Ratios of Bharti Airtel (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,BHARTIARTL.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
240,Per Share Ratios,,,,,,BHARTIARTL.NS,,,,,
241,Basic EPS (Rs.),-46.18,-71.08,-4.36,0.20,-24.84,BHARTIARTL.NS,19.46,33.02,16.69,13.42,15.09
242,Diluted EPS (Rs.),-46.18,-71.08,-4.36,0.20,-24.84,BHARTIARTL.NS,19.46,33.02,16.69,13.42,15.09
243,Cash EPS (Rs.),-5.83,-28.77,33.15,32.84,5.70,BHARTIARTL.NS,43.42,51.93,34.60,31.40,30.67
244,Book Value [ExclRevalReserve]/Share (Rs.),140.86,185.27,245.92,257.32,253.18,BHARTIARTL.NS,279.50,195.80,166.92,142.57,130.15
245,Book Value [InclRevalReserve]/Share (Rs.),140.86,185.27,245.92,257.32,253.18,BHARTIARTL.NS,279.50,195.81,166.93,142.58,130.16
246,Dividend / Share(Rs.),0.00,2.00,2.50,5.34,1.00,BHARTIARTL.NS,1.36,3.85,1.80,1.00,1.00
247,Revenue from Operations/Share (Rs.),117.13,99.56,124.10,134.24,155.79,BHARTIARTL.NS,150.85,138.83,124.88,119.42,109.55
248,PBDIT/Share (Rs.),55.30,41.01,37.32,45.13,59.73,BHARTIARTL.NS,56.25,61.60,42.91,39.32,37.57
249,PBIT/Share (Rs.),15.25,3.64,-0.50,12.49,29.20,BHARTIARTL.NS,32.29,42.69,24.82,21.35,21.99
250,PBT/Share (Rs.),-33.62,-93.52,-13.12,-1.70,-21.29,BHARTIARTL.NS,25.65,39.16,20.96,17.00,18.32
251,Net Profit/Share (Rs.),-45.88,-66.15,-4.68,0.20,-24.83,BHARTIARTL.NS,19.46,33.02,16.51,13.42,15.09
252,Profitability Ratios,,,,,,BHARTIARTL.NS,,,,,
253,PBDIT Margin (%),47.21,41.19,30.07,33.61,38.34,BHARTIARTL.NS,37.28,44.37,34.36,32.92,34.29
254,PBIT Margin (%),13.01,3.65,-0.40,9.30,18.74,BHARTIARTL.NS,21.40,30.74,19.87,17.87,20.07
255,PBT Margin (%),-28.70,-93.93,-10.57,-1.26,-13.66,BHARTIARTL.NS,17.00,28.20,16.78,14.23,16.72
256,Net Profit Margin (%),-39.17,-66.43,-3.76,0.14,-15.93,BHARTIARTL.NS,12.90,23.78,13.22,11.23,13.77
257,Return on Networth / Equity (%),-32.57,-35.70,-1.90,0.07,-9.80,BHARTIARTL.NS,6.96,16.86,9.89,9.41,11.59
258,Return on Capital Employed (%),4.05,0.95,-0.12,3.09,7.49,BHARTIARTL.NS,4.94,12.76,8.34,7.44,9.36
259,Return on Assets (%),-9.07,-12.01,-0.83,0.03,-5.17,BHARTIARTL.NS,4.20,10.44,6.72,5.79,7.13
260,Total Debt/Equity (X),1.22,0.81,0.85,0.61,0.56,BHARTIARTL.NS,0.38,0.26,0.13,0.24,0.29
261,Asset Turnover Ratio (%),23.15,18.08,22.25,26.18,32.49,BHARTIARTL.NS,32.58,43.89,50.83,51.60,51.79
262,Liquidity Ratios,,,,,,BHARTIARTL.NS,,,,,
263,Current Ratio (X),0.56,0.63,0.32,0.49,0.47,BHARTIARTL.NS,0.41,0.64,0.35,0.32,0.73
264,Quick Ratio (X),0.56,0.63,0.32,0.49,0.47,BHARTIARTL.NS,0.41,0.64,0.35,0.32,0.73
265,Inventory Turnover Ratio (X),80407.38,17521.65,49606.00,8517.94,15968.28,BHARTIARTL.NS,11377.42,5903.87,45380.45,21595.67,1296.07
266,Dividend Payout Ratio (NP) (%),0.00,0.00,-106.93,1261.74,-4.02,BHARTIARTL.NS,11.40,11.65,10.90,7.45,6.62
267,Dividend Payout Ratio (CP) (%),0.00,0.00,15.08,7.61,17.54,BHARTIARTL.NS,5.11,7.41,5.20,3.18,3.26
268,Earnings Retention Ratio (%),0.00,0.00,206.93,-1161.74,104.02,BHARTIARTL.NS,88.60,88.35,89.10,92.55,93.38
269,Cash Earnings Retention Ratio (%),0.00,0.00,84.92,92.39,82.46,BHARTIARTL.NS,94.89,92.59,94.80,96.82,96.74
270,Valuation Ratios,,,,,,BHARTIARTL.NS,,,,,
271,Enterprise Value (Cr.),377472.36,319339.34,216590.65,221447.29,196605.51,BHARTIARTL.NS,182379.07,177321.49,135553.79,123431.07,141532.38
272,EV/Net Operating Revenue (X),5.87,5.88,4.37,4.13,3.16,BHARTIARTL.NS,3.02,3.20,2.72,2.72,3.40
273,EV/EBITDA (X),12.43,14.27,14.52,12.28,8.23,BHARTIARTL.NS,8.11,7.20,7.90,8.27,9.92
274,MarketCap/Net Operating Revenue (X),4.42,4.43,2.68,2.97,2.25,BHARTIARTL.NS,2.33,2.84,2.55,2.44,3.07
275,Retention Ratios (%),0.00,0.00,206.93,-1161.74,104.02,BHARTIARTL.NS,88.59,88.34,89.09,92.54,93.37
276,Price/BV (X),3.67,2.38,1.35,1.55,1.38,BHARTIARTL.NS,1.26,2.01,1.91,2.05,2.59
277,Price/Net Operating Revenue,4.42,4.43,2.68,2.97,2.25,BHARTIARTL.NS,2.33,2.84,2.55,2.44,3.07
278,Earnings Yield,-0.09,-0.15,-0.01,0.00,-0.07,BHARTIARTL.NS,0.06,0.08,0.05,0.05,0.04
279,Key Financial Ratios of Bharat Petroleum Corporation (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,BPCL.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
280,Per Share Ratios,,,,,,BPCL.NS,,,,,
281,Basic EPS (Rs.),96.44,13.64,36.26,40.55,40.87,BPCL.NS,102.78,70.32,56.16,36.55,36.27
282,Diluted EPS (Rs.),96.12,13.64,36.26,40.55,40.87,BPCL.NS,102.78,70.32,56.16,36.55,36.27
283,Cash EPS (Rs.),109.99,32.90,52.48,54.04,75.73,BPCL.NS,128.43,105.11,87.23,63.19,88.40
284,Book Value [ExclRevalReserve]/Share (Rs.),260.62,168.87,186.78,173.53,226.26,BPCL.NS,375.60,310.72,269.11,230.04,412.51
285,Book Value [InclRevalReserve]/Share (Rs.),260.62,168.87,186.78,173.53,226.26,BPCL.NS,375.60,310.72,269.11,230.04,412.51
286,Dividend / Share(Rs.),79.00,16.50,19.00,21.00,32.50,BPCL.NS,31.00,22.50,17.00,11.00,11.00
287,Revenue from Operations/Share (Rs.),1111.11,1445.86,1511.40,1202.01,1542.12,BPCL.NS,2618.01,3292.68,3596.57,3320.74,5863.06
288,PBDIT/Share (Rs.),102.61,49.42,76.00,75.10,102.42,BPCL.NS,180.73,145.41,132.14,107.69,154.03
289,PBIT/Share (Rs.),83.60,30.17,59.78,61.62,88.00,BPCL.NS,155.09,110.62,101.07,81.06,101.89
290,PBT/Share (Rs.),108.07,13.58,53.08,57.38,84.22,BPCL.NS,147.30,102.55,82.27,55.81,52.12
291,Net Profit/Share (Rs.),90.98,13.64,36.26,40.55,61.31,BPCL.NS,102.78,70.32,56.16,36.55,36.27
292,Profitability Ratios,,,,,,BPCL.NS,,,,,
293,PBDIT Margin (%),9.23,3.41,5.02,6.24,6.64,BPCL.NS,6.90,4.41,3.67,3.24,2.62
294,PBIT Margin (%),7.52,2.08,3.95,5.12,5.70,BPCL.NS,5.92,3.35,2.81,2.44,1.73
295,PBT Margin (%),9.72,0.93,3.51,4.77,5.46,BPCL.NS,5.62,3.11,2.28,1.68,0.88
296,Net Profit Margin (%),8.18,0.94,2.39,3.37,3.97,BPCL.NS,3.92,2.13,1.56,1.10,0.61
297,Return on Networth / Equity (%),34.91,8.07,19.41,23.36,27.09,BPCL.NS,27.36,22.63,20.86,15.88,8.79
298,Return on Capital Employed (%),20.37,8.79,17.19,21.87,23.79,BPCL.NS,16.77,13.70,11.99,10.87,6.92
299,Return on Assets (%),13.54,2.12,6.16,7.96,8.73,BPCL.NS,9.78,7.29,5.60,3.94,1.99
300,Total Debt/Equity (X),0.53,1.32,0.74,0.67,0.71,BPCL.NS,0.50,0.52,1.03,1.42,1.42
301,Asset Turnover Ratio (%),165.38,224.86,257.09,236.11,219.81,BPCL.NS,249.11,341.44,359.06,358.44,323.09
302,Liquidity Ratios,,,,,,BPCL.NS,,,,,
303,Current Ratio (X),0.93,0.70,0.99,0.83,0.79,BPCL.NS,0.89,0.93,1.03,0.90,0.85
304,Quick Ratio (X),0.44,0.35,0.53,0.36,0.33,BPCL.NS,0.45,0.48,0.53,0.51,0.50
305,Inventory Turnover Ratio (X),8.69,13.93,13.80,11.33,10.21,BPCL.NS,13.82,16.47,13.64,14.39,13.29
306,Dividend Payout Ratio (NP) (%),0.00,179.59,49.64,36.16,70.15,BPCL.NS,30.16,31.99,30.27,30.09,30.32
307,Dividend Payout Ratio (CP) (%),0.00,74.47,34.30,27.13,56.79,BPCL.NS,24.13,21.40,19.48,17.40,12.44
308,Earnings Retention Ratio (%),0.00,-79.59,50.36,63.84,29.85,BPCL.NS,69.84,68.01,69.73,69.91,69.68
309,Cash Earnings Retention Ratio (%),0.00,25.53,65.70,72.87,43.21,BPCL.NS,75.87,78.60,80.52,82.60,87.56
310,Valuation Ratios,,,,,,BPCL.NS,,,,,
311,Enterprise Value (Cr.),111380.21,106041.53,105071.20,106841.33,106032.68,BPCL.NS,76835.19,68982.94,53071.67,48581.20,45550.08
312,EV/Net Operating Revenue (X),0.48,0.37,0.35,0.45,0.52,BPCL.NS,0.41,0.29,0.20,0.20,0.21
313,EV/EBITDA (X),5.19,10.91,7.03,7.23,7.90,BPCL.NS,5.88,6.56,5.55,6.24,8.18
314,MarketCap/Net Operating Revenue (X),0.39,0.22,0.26,0.36,0.42,BPCL.NS,0.34,0.25,0.13,0.11,0.12
315,Retention Ratios (%),0.00,-79.59,50.35,63.83,29.84,BPCL.NS,69.83,68.00,69.72,69.90,69.67
316,Price/BV (X),1.64,1.87,2.12,2.47,2.87,BPCL.NS,2.40,2.61,1.71,1.64,1.70
317,Price/Net Operating Revenue,0.39,0.22,0.26,0.36,0.42,BPCL.NS,0.34,0.25,0.13,0.11,0.12
318,Earnings Yield,0.21,0.04,0.09,0.09,0.09,BPCL.NS,0.11,0.09,0.12,0.10,0.05
319,Key Financial Ratios of Britannia Industries (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,BRITANNIA.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
320,Per Share Ratios,,,,,,BRITANNIA.NS,,,,,
321,Basic EPS (Rs.),73.12,61.75,46.71,78.96,70.31,BRITANNIA.NS,62.44,51.90,30.87,19.57,15.63
322,Diluted EPS (Rs.),73.09,61.73,46.68,78.92,70.30,BRITANNIA.NS,62.43,51.89,30.87,19.55,15.62
323,Cash EPS (Rs.),79.98,68.02,52.32,88.93,78.34,BRITANNIA.NS,69.67,61.67,36.12,24.34,19.59
324,Book Value [ExclRevalReserve]/Share (Rs.),137.80,177.74,168.10,269.49,215.17,BRITANNIA.NS,141.68,103.01,71.15,53.23,43.54
325,Book Value [InclRevalReserve]/Share (Rs.),137.80,177.74,168.10,269.49,215.17,BRITANNIA.NS,141.68,103.01,71.15,53.23,43.54
326,Dividend / Share(Rs.),157.50,35.00,15.00,25.00,22.00,BRITANNIA.NS,20.00,16.00,12.00,8.50,8.50
327,Revenue from Operations/Share (Rs.),513.86,456.83,436.22,775.02,701.20,BRITANNIA.NS,662.33,598.25,525.83,469.72,416.42
328,PBDIT/Share (Rs.),109.76,87.57,77.10,130.48,112.41,BRITANNIA.NS,102.50,71.62,52.64,35.72,28.28
329,PBIT/Share (Rs.),102.83,81.27,71.48,120.50,104.38,BRITANNIA.NS,95.26,61.84,47.36,30.94,24.31
330,PBT/Share (Rs.),98.77,79.35,71.42,120.38,104.26,BRITANNIA.NS,94.30,73.58,45.24,27.79,21.13
331,Net Profit/Share (Rs.),73.06,61.72,46.70,78.96,70.31,BRITANNIA.NS,62.42,51.89,30.83,19.56,15.63
332,Profitability Ratios,,,,,,BRITANNIA.NS,,,,,
333,PBDIT Margin (%),21.35,19.16,17.67,16.83,16.03,BRITANNIA.NS,15.47,11.97,10.01,7.60,6.79
334,PBIT Margin (%),20.01,17.78,16.38,15.54,14.88,BRITANNIA.NS,14.38,10.33,9.00,6.58,5.83
335,PBT Margin (%),19.22,17.36,16.37,15.53,14.86,BRITANNIA.NS,14.23,12.29,8.60,5.91,5.07
336,Net Profit Margin (%),14.21,13.50,10.70,10.18,10.02,BRITANNIA.NS,9.42,8.67,5.86,4.16,3.75
337,Return on Networth / Equity (%),53.02,34.72,27.78,29.29,32.67,BRITANNIA.NS,44.05,50.37,43.33,36.74,35.90
338,Return on Capital Employed (%),60.59,38.79,42.19,29.06,32.36,BRITANNIA.NS,43.43,49.41,41.74,28.68,26.94
339,Return on Assets (%),23.73,20.46,19.85,20.48,22.82,BRITANNIA.NS,24.42,25.28,20.05,13.89,11.16
340,Total Debt/Equity (X),0.54,0.28,0.00,0.00,0.00,BRITANNIA.NS,0.00,0.00,0.00,0.30,0.05
341,Asset Turnover Ratio (%),166.92,151.47,185.43,201.06,227.65,BRITANNIA.NS,259.12,291.47,341.96,333.65,297.43
342,Liquidity Ratios,,,,,,BRITANNIA.NS,,,,,
343,Current Ratio (X),1.21,1.45,1.94,2.03,1.84,BRITANNIA.NS,1.06,1.19,0.90,0.82,0.88
344,Quick Ratio (X),0.91,1.16,1.49,1.59,1.29,BRITANNIA.NS,0.77,0.90,0.51,0.44,0.49
345,Inventory Turnover Ratio (X),12.49,17.34,14.58,15.65,13.96,BRITANNIA.NS,20.70,20.76,17.19,16.94,13.01
346,Dividend Payout Ratio (NP) (%),0.00,28.44,26.74,27.86,28.44,BRITANNIA.NS,32.03,30.82,38.91,43.46,54.36
347,Dividend Payout Ratio (CP) (%),0.00,25.81,23.87,24.73,25.52,BRITANNIA.NS,28.70,25.94,33.21,34.94,43.37
348,Earnings Retention Ratio (%),0.00,71.56,73.26,72.14,71.56,BRITANNIA.NS,67.97,69.18,61.09,56.54,45.64
349,Cash Earnings Retention Ratio (%),0.00,74.19,76.13,75.27,74.48,BRITANNIA.NS,71.30,74.06,66.79,65.06,56.63
350,Valuation Ratios,,,,,,BRITANNIA.NS,,,,,
351,Enterprise Value (Cr.),89087.38,65849.04,74019.04,59594.32,40541.69,BRITANNIA.NS,32082.29,25705.27,10050.54,6393.18,7074.62
352,EV/Net Operating Revenue (X),7.20,5.99,7.06,6.41,4.82,BRITANNIA.NS,4.04,3.58,1.59,1.14,1.42
353,EV/EBITDA (X),33.69,31.27,39.95,38.05,30.05,BRITANNIA.NS,26.08,29.92,15.92,14.97,20.95
354,MarketCap/Net Operating Revenue (X),7.06,5.89,7.07,6.41,4.82,BRITANNIA.NS,4.04,3.61,1.60,1.12,1.42
355,Retention Ratios (%),0.00,71.55,73.25,72.13,71.55,BRITANNIA.NS,67.96,69.17,61.08,56.53,45.63
356,Price/BV (X),26.33,15.13,18.33,18.45,15.72,BRITANNIA.NS,18.88,20.95,11.85,9.85,13.61
357,Price/Net Operating Revenue,7.06,5.89,7.07,6.41,4.82,BRITANNIA.NS,4.04,3.61,1.60,1.12,1.42
358,Earnings Yield,0.02,0.02,0.02,0.02,0.02,BRITANNIA.NS,0.02,0.02,0.04,0.04,0.03
359,Key Financial Ratios of Cipla (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,CIPLA.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
360,Per Share Ratios,,,,,,CIPLA.NS,,,,,
361,Basic EPS (Rs.),30.61,28.76,23.45,18.25,12.13,CIPLA.NS,18.21,14.71,17.29,18.77,14.00
362,Diluted EPS (Rs.),30.57,28.72,23.41,18.22,12.11,CIPLA.NS,18.16,14.66,17.29,18.77,14.00
363,Cash EPS (Rs.),37.50,36.19,30.51,24.82,18.33,CIPLA.NS,23.71,20.10,21.32,22.55,17.51
364,Book Value [ExclRevalReserve]/Share (Rs.),247.10,215.85,195.88,175.30,159.11,CIPLA.NS,149.19,138.01,125.58,110.36,93.93
365,Book Value [InclRevalReserve]/Share (Rs.),247.10,215.85,195.88,175.30,159.11,CIPLA.NS,149.19,138.12,125.69,110.47,94.04
366,Dividend / Share(Rs.),5.00,4.00,3.00,3.00,2.00,CIPLA.NS,2.00,2.00,2.00,2.00,2.00
367,Revenue from Operations/Share (Rs.),172.37,157.01,153.58,141.47,133.85,CIPLA.NS,150.83,126.18,116.83,102.16,86.90
368,PBDIT/Share (Rs.),49.00,44.65,38.22,31.43,21.46,CIPLA.NS,29.05,26.27,28.27,29.25,21.55
369,PBIT/Share (Rs.),42.11,37.21,31.15,24.85,15.24,CIPLA.NS,23.54,20.87,24.24,25.47,18.04
370,PBT/Share (Rs.),41.55,36.77,30.94,23.74,14.75,CIPLA.NS,21.71,19.18,22.65,25.06,17.70
371,Net Profit/Share (Rs.),30.61,28.75,23.44,18.24,12.12,CIPLA.NS,18.20,14.71,17.29,18.77,14.00
372,Profitability Ratios,,,,,,CIPLA.NS,,,,,
373,PBDIT Margin (%),28.42,28.43,24.88,22.21,16.02,CIPLA.NS,19.25,20.81,24.19,28.62,24.79
374,PBIT Margin (%),24.42,23.70,20.28,17.56,11.38,CIPLA.NS,15.60,16.54,20.74,24.93,20.75
375,PBT Margin (%),24.10,23.41,20.14,16.78,11.02,CIPLA.NS,14.39,15.19,19.38,24.52,20.37
376,Net Profit Margin (%),17.75,18.31,15.26,12.89,9.05,CIPLA.NS,12.06,11.65,14.80,18.37,16.10
377,Return on Networth / Equity (%),12.38,13.32,11.96,10.40,7.61,CIPLA.NS,12.20,10.65,13.76,17.00,14.90
378,Return on Capital Employed (%),16.75,16.86,15.63,13.93,9.39,CIPLA.NS,11.90,10.17,13.21,16.33,14.38
379,Return on Assets (%),10.74,11.36,10.25,8.59,6.24,CIPLA.NS,9.59,7.77,10.74,13.11,12.49
380,Total Debt/Equity (X),0.00,0.00,0.00,0.01,0.03,CIPLA.NS,0.09,0.12,0.09,0.11,0.00
381,Asset Turnover Ratio (%),60.53,62.03,67.18,66.62,68.99,CIPLA.NS,79.51,66.69,72.58,71.36,77.58
382,Liquidity Ratios,,,,,,CIPLA.NS,,,,,
383,Current Ratio (X),3.79,3.45,4.00,2.91,2.48,CIPLA.NS,2.19,1.83,2.11,3.02,4.07
384,Quick Ratio (X),2.64,2.29,2.79,1.79,1.44,CIPLA.NS,1.20,0.91,1.07,1.98,2.52
385,Inventory Turnover Ratio (X),4.50,4.19,4.31,3.75,4.06,CIPLA.NS,4.15,3.08,3.74,3.50,3.82
386,Dividend Payout Ratio (NP) (%),0.00,24.34,12.79,10.95,16.50,CIPLA.NS,12.37,13.59,11.56,10.65,14.28
387,Dividend Payout Ratio (CP) (%),0.00,19.33,9.82,8.05,10.90,CIPLA.NS,9.49,9.94,9.37,8.87,11.42
388,Earnings Retention Ratio (%),0.00,75.66,87.21,89.05,83.50,CIPLA.NS,87.63,86.41,88.44,89.35,85.72
389,Cash Earnings Retention Ratio (%),0.00,80.67,90.18,91.95,89.10,CIPLA.NS,90.51,90.06,90.63,91.13,88.58
390,Valuation Ratios,,,,,,CIPLA.NS,,,,,
391,Enterprise Value (Cr.),64871.04,33587.37,42471.14,43683.96,47916.41,CIPLA.NS,42228.95,58403.65,31638.57,31350.87,24409.46
392,EV/Net Operating Revenue (X),4.67,2.65,3.43,3.84,4.45,CIPLA.NS,3.48,5.76,3.37,3.82,3.50
393,EV/EBITDA (X),16.42,9.33,13.79,17.26,27.76,CIPLA.NS,18.10,27.69,13.94,13.35,14.11
394,MarketCap/Net Operating Revenue (X),4.73,2.69,3.45,3.84,4.42,CIPLA.NS,3.40,5.64,3.28,3.72,3.50
395,Retention Ratios (%),0.00,75.65,87.20,89.04,83.49,CIPLA.NS,87.62,86.40,88.43,89.34,85.71
396,Price/BV (X),3.30,1.96,2.70,3.10,3.72,CIPLA.NS,3.43,5.15,3.06,3.44,3.24
397,Price/Net Operating Revenue,4.73,2.69,3.45,3.84,4.42,CIPLA.NS,3.40,5.64,3.28,3.72,3.50
398,Earnings Yield,0.04,0.07,0.04,0.03,0.02,CIPLA.NS,0.04,0.02,0.05,0.05,0.05
399,Key Financial Ratios of Coal India (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,COALINDIA.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
400,Per Share Ratios,,,,,,COALINDIA.NS,,,,,
401,Basic EPS (Rs.),12.40,18.31,16.87,14.97,23.12,COALINDIA.NS,26.27,21.19,23.76,15.65,12.83
402,Diluted EPS (Rs.),12.40,18.31,16.87,14.97,23.12,COALINDIA.NS,26.27,21.19,23.76,15.65,12.83
403,Cash EPS (Rs.),12.43,18.39,17.03,15.00,23.39,COALINDIA.NS,26.30,21.20,23.77,15.51,12.78
404,Book Value [ExclRevalReserve]/Share (Rs.),27.18,27.28,22.71,20.45,22.42,COALINDIA.NS,25.40,26.49,26.04,32.48,30.97
405,Book Value [InclRevalReserve]/Share (Rs.),27.18,27.28,22.71,20.45,22.42,COALINDIA.NS,25.40,26.49,26.04,32.48,30.97
406,Dividend / Share(Rs.),16.00,12.00,13.10,16.50,19.90,COALINDIA.NS,27.40,20.70,29.00,14.00,10.00
407,Revenue from Operations/Share (Rs.),1.04,1.37,1.52,0.59,0.47,COALINDIA.NS,0.26,0.61,0.50,0.56,0.66
408,PBDIT/Share (Rs.),12.49,18.43,17.21,14.62,23.18,COALINDIA.NS,26.38,22.01,24.83,16.97,14.23
409,PBIT/Share (Rs.),12.45,18.34,17.17,14.59,23.16,COALINDIA.NS,26.35,22.00,24.82,16.96,14.21
410,PBT/Share (Rs.),12.45,18.33,17.14,15.01,23.38,COALINDIA.NS,26.55,21.61,24.41,16.37,13.61
411,Net Profit/Share (Rs.),12.40,18.31,16.99,14.97,23.36,COALINDIA.NS,26.27,21.19,23.76,15.51,12.77
412,Profitability Ratios,,,,,,COALINDIA.NS,,,,,
413,PBDIT Margin (%),1201.91,1343.99,1135.25,2489.74,4964.64,COALINDIA.NS,10065.13,3591.56,4991.45,3042.94,2160.62
414,PBIT Margin (%),1198.83,1337.55,1132.44,2484.76,4958.60,COALINDIA.NS,10055.21,3589.71,4989.41,3041.53,2158.95
415,PBT Margin (%),1198.59,1336.93,1130.51,2555.50,5005.59,COALINDIA.NS,10130.00,3526.72,4907.14,2934.89,2067.88
416,Net Profit Margin (%),1193.29,1334.76,1120.58,2549.63,5001.75,COALINDIA.NS,10024.16,3457.16,4775.98,2780.50,1939.37
417,Return on Networth / Equity (%),45.60,67.09,74.79,73.20,104.17,COALINDIA.NS,103.41,79.97,91.26,47.73,41.22
418,Return on Capital Employed (%),34.91,52.02,57.78,54.45,81.76,COALINDIA.NS,85.54,67.35,78.36,40.98,35.28
419,Return on Assets (%),33.95,50.32,54.98,50.33,76.77,COALINDIA.NS,77.61,60.42,59.93,28.77,26.26
420,Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,COALINDIA.NS,0.00,0.00,0.00,0.04,0.06
421,Asset Turnover Ratio (%),2.84,3.77,4.90,1.97,1.53,COALINDIA.NS,0.77,1.74,1.25,1.03,1.35
422,Liquidity Ratios,,,,,,COALINDIA.NS,,,,,
423,Current Ratio (X),8.21,7.70,2.68,1.17,2.77,COALINDIA.NS,3.23,4.73,2.58,2.28,2.68
424,Quick Ratio (X),8.21,7.67,2.64,1.16,2.72,COALINDIA.NS,3.15,4.70,2.58,2.28,2.68
425,Inventory Turnover Ratio (X),640.25,56.42,30.46,17.04,4.24,COALINDIA.NS,1.09,6.64,7.88,22.49,22.47
426,Dividend Payout Ratio (NP) (%),0.00,65.55,77.41,110.20,85.19,COALINDIA.NS,104.30,97.69,122.04,90.28,78.31
427,Dividend Payout Ratio (CP) (%),0.00,65.24,77.22,109.99,85.09,COALINDIA.NS,104.19,97.64,121.99,90.24,78.24
